,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/FEO2,Solar8000/FIO2,Solar8000/HR,Solar8000/INCO2,Solar8000/NIBP_DBP,Solar8000/NIBP_MBP,Solar8000/NIBP_SBP,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Primus/CO2,Primus/ETCO2,Primus/FEO2,Primus/FIO2,Primus/INCO2,Primus/MV,Primus/TV,Orchestra/PPF20_CE,Orchestra/PPF20_CP,Orchestra/PPF20_CT,Orchestra/PPF20_RATE,Orchestra/PPF20_VOL,Orchestra/RFTN20_CE,Orchestra/RFTN20_CP,Orchestra/RFTN20_CT,Orchestra/RFTN20_RATE,Orchestra/RFTN20_VOL,BIS/BIS
3808,0.0,0.0,1.0,1.0,1.0,0.08895104895104895,0.08895104895104895,0.08895104895104895,0.0016783216783216783,0.08895104895104895,0.02125874125874126,0.0008391608391608392,0.02125874125874126,0.0008391608391608392,0.0897902097902098,0.004694825174825175,0.0029354207436399216,0.0029354207436399216,0.0029354207436399216,0.0029354207436399216,0.016634050880626222,0.025440313111545987,0.005594405594405594,0.005594405594405594,0.005594405594405594,0.005454545454545455,0.005454545454545455,0.005594405594405594,0.005594405594405594,0.005594405594405594,0.005594405594405594,0.005594405594405594,0.00013986013986013986
684,0.0,0.0,0.021691378363536518,0.0002745744096650192,0.0214168039538715,0.002196595277320154,0.002196595277320154,0.002196595277320154,0.021691378363536518,0.002196595277320154,0.5436573311367381,0.5436573311367381,0.5436573311367381,0.0002745744096650192,0.03706754530477759,0.00010104338275672707,0.01536983669548511,0.01536983669548511,0.01536983669548511,0.01536983669548511,0.04707012487992315,0.04707012487992315,0.004530477759472817,0.004530477759472817,0.004530477759472817,0.004393190554640308,0.004393190554640308,0.004530477759472817,0.004530477759472817,0.004530477759472817,0.004530477759472817,0.004530477759472817,0.0001372872048325096
2613,0.0,0.0,0.03022875816993464,0.0013616557734204794,0.029139433551198256,0.056372549019607844,0.056372549019607844,0.056372549019607844,0.0010893246187363835,0.056372549019607844,0.7796840958605664,0.7796840958605664,0.7796840958605664,0.0013616557734204794,0.059095860566448805,0.0001655997106362951,0.011439466158245948,0.011439466158245948,0.011439466158245948,0.011439466158245948,0.017159199237368923,0.019065776930409915,0.010622361432656952,0.010622361432656952,0.010486177311725452,0.010486177311725452,0.010486177311725452,0.014707885060601934,0.014707885060601934,0.014707885060601934,0.014571700939670435,0.014571700939670435,0.00013618412093149938
4941,0.0,0.0,0.04034427111350188,0.0008068854222700376,0.039537385691231844,0.07799892415277031,0.07799892415277031,0.07799892415277031,0.006186121570736955,0.07799892415277031,0.7326519634211942,0.7189349112426036,0.7326519634211942,0.0029585798816568047,0.07880580957504034,0.0001291188926763764,0.02539981185324553,0.02539981185324553,0.02539981185324553,0.02539981185324553,0.01599247412982126,0.023518344308560677,0.027841291190316073,0.027841291190316073,0.027841291190316073,0.027706792199058507,0.027706792199058507,0.027841291190316073,0.027841291190316073,0.027841291190316073,0.027841291190316073,0.027841291190316073,0.00013449899125756557
1826,0.0,0.0,0.026364355391510677,0.002372791985235961,0.02610071183759557,0.07935670972844713,0.07988399683627735,0.07988399683627735,0.0021091484313208544,0.07935670972844713,0.6256261534405484,0.6256261534405484,0.6256261534405484,0.003427366200896388,0.08041128394410757,0.0022504613762193513,0.0036900369003690036,0.0036900369003690036,0.0036900369003690036,0.0036900369003690036,0.00922509225092251,0.017527675276752766,0.006591088847877669,0.006591088847877669,0.006591088847877669,0.006459267070920116,0.006459267070920116,0.006854732401792776,0.006854732401792776,0.006854732401792776,0.006722910624835223,0.006722910624835223,0.0001318217769575534
4818,0.00013643533123028391,0.00013643533123028391,0.03286014721345951,0.0026288117770767614,0.03286014721345951,0.04758149316508938,0.04758149316508938,0.04758149316508938,0.0026288117770767614,0.04758149316508938,0.5286540483701367,0.5286540483701367,0.5286540483701367,0.0026288117770767614,0.04784437434279706,0.00017665615141955837,0.022999080036798528,0.022999080036798528,0.022999080036798528,0.022999080036798528,0.01839926402943882,0.01839926402943882,0.05993690851735016,0.05993690851735016,0.05993690851735016,0.05993690851735016,0.05993690851735016,0.05993690851735016,0.05993690851735016,0.05993690851735016,0.05993690851735016,0.05993690851735016,0.00013144058885383806
5546,0.00012691752982824176,0.00012691752982824176,0.027267960146827478,0.0013109596224436288,0.02700576822233875,0.08127949659150498,0.08127949659150498,0.08127949659150498,0.004981646565285789,0.08127949659150498,0.4517566858940745,0.4520188778185632,0.4517566858940745,0.007341373885684321,0.08521237545883587,0.0022572416339408587,0.025688073394495414,0.025688073394495414,0.025688073394495414,0.025688073394495414,0.027522935779816515,0.030275229357798167,0.004588960272715353,0.004588960272715353,0.004588960272715353,0.004588960272715353,0.004588960272715353,0.004588960272715353,0.004588960272715353,0.004588960272715353,0.004588960272715353,0.004588960272715353,0.0001311131506490101
6042,0.0,0.0,0.03656639004149378,0.0005186721991701245,0.03578838174273859,0.1566390041493776,0.1566390041493776,0.1566390041493776,0.0005186721991701245,0.1566390041493776,0.4403526970954357,0.4403526970954357,0.4403526970954357,0.016338174273858922,0.16052904564315354,0.00015352697095435684,0.06533575317604355,0.06533575317604355,0.06533575317604355,0.06533575317604355,0.06896551724137931,0.07259528130671507,0.02074688796680498,0.02074688796680498,0.02074688796680498,0.020098547717842325,0.020098547717842325,0.02074688796680498,0.02074688796680498,0.02074688796680498,0.02074688796680498,0.02074688796680498,0.00012966804979253112
3564,0.0,0.0,0.030279702335129586,0.002052861175263023,0.030536309982037466,0.005132152938157557,0.005132152938157557,0.005132152938157557,0.001796253528355145,0.005132152938157557,0.8098537336412626,0.8098537336412626,0.8098537336412626,0.0033358994098024123,0.008724659994867847,0.0025910405840722864,0.02064631956912029,0.02064631956912029,0.02064631956912029,0.02064631956912029,0.018850987432675045,0.02244165170556553,0.05479276273578853,0.05479276273578853,0.05479276273578853,0.05453612216091364,0.05453612216091364,0.05748748877197485,0.05748748877197485,0.05748748877197485,0.05710252790966252,0.05723084819709996,0.00012832028743744385
4767,0.0,0.0,0.02535860655737705,0.0015368852459016393,0.02535860655737705,0.001793032786885246,0.001793032786885246,0.001793032786885246,0.012038934426229508,0.001793032786885246,0.8808913934426229,0.8808913934426229,0.8808913934426229,0.04149590163934426,0.036885245901639344,0.0024959016393442625,0.015232974910394265,0.015232974910394265,0.015232974910394265,0.015232974910394265,0.03763440860215054,0.042114695340501794,0.059170081967213115,0.059170081967213115,0.059170081967213115,0.059170081967213115,0.059170081967213115,0.059554303278688527,0.059554303278688527,0.05968237704918033,0.059170081967213115,0.05942622950819672,0.00012807377049180329
5023,0.0,0.0,1.0,1.0,1.0,0.15514592933947774,0.15514592933947774,0.15514592933947774,0.0017921146953405018,0.15514592933947774,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.002304147465437788,0.16436251920122888,0.002545826932923707,0.07795698924731183,0.07795698924731183,0.07795698924731183,0.07795698924731183,0.08870967741935484,0.09587813620071685,0.0037122375832053254,0.0037122375832053254,0.0038402457757296467,0.0038402457757296467,0.0037122375832053254,0.004224270353302612,0.004224270353302612,0.004224270353302612,0.0038402457757296467,0.0038402457757296467,0.00012800819252432156
