,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,Primus/ETCO2,Orchestra/PPF20_RATE,BIS/BIS
1802,0.05629827688651218,0.03728461081402258,0.056446821152703504,0.04738562091503268,0.033571004159239456,0.06340956340956341,0.09224598930481283,0.00014854426619132502
1810,0.08386524822695035,0.0549645390070922,0.08386524822695035,0.061170212765957445,0.05319148936170213,0.07196029776674938,0.11861702127659575,0.002127659574468085
1820,0.07967656945580086,0.024620695920777688,0.07967656945580086,0.02979921867902244,0.026346870173525938,0.034976152623211444,0.05505837459682915,9.08554036251306e-05
1826,0.04889321333009,0.015567988324008757,0.04913646314765264,0.07297494526879104,0.0647044514716614,0.029787234042553193,0.05449458703320764,0.0001216397031991242
1852,0.05838528204348487,0.045917591607115706,0.05777710202219857,0.045917591607115706,0.046525771628402005,0.0745077168706759,0.014293317113966395,0.0001520565650421957
1863,0.9873597036068432,0.982565108423232,0.9873597036068432,0.033889070502342813,0.02593440122044241,0.08085430968726164,0.7822154416171743,0.0010897400969868687
1875,0.055015319035566806,0.027707473025176503,0.055015319035566806,0.045024643665911815,0.036366058345544156,0.04428904428904429,0.03836674881769134,0.0049956704189702255
1896,0.06811537711946988,0.04151237575521341,0.06801793022802573,0.031085558370687976,0.04346131358409667,0.0688949522510232,0.07109097110558885,0.001023242216050285
1912,0.03215348991068475,0.020112471055243136,0.032087330466424084,0.020244789943764472,0.022758848825669864,0.0032414910858995136,0.0252737437559959,3.308081643454961e-05
1920,0.04533500313087038,0.03506574827802129,0.04533500313087038,0.061365059486537255,0.036944270507201005,0.05652936021034181,0.05084533500313087,0.03838447088290545
1925,0.07431500098561009,0.04730928444707274,0.07392075694855116,0.06071358170707668,0.06347328996648925,0.02413793103448276,0.14470182355840316,0.043765401675702316
1959,0.07156009373953799,0.021844660194174758,0.07139270170739873,0.023769668563776363,0.025610980917308335,0.03925014645577036,0.02891697355205892,4.1848008034817545e-05
1968,0.9325897187196897,0.9325897187196897,0.9325897187196897,0.15227934044616878,0.11736178467507274,0.17966101694915254,0.20392822502424832,0.005092143549951503
2009,0.10927246790299572,0.07988587731811697,0.10841654778887304,0.12496433666191155,0.07503566333808845,0.08383233532934131,0.156490727532097,0.003566333808844508
2016,0.14312740557113968,0.1129232174310131,0.14293169808859024,0.01911409746232631,0.022506360493182855,0.015068493150684932,0.0493509035162111,0.0018266031704612174
2025,0.13883532587736214,0.1195526417277285,0.13883532587736214,0.1392209795603548,0.09062861550327805,0.1632928475033738,0.10335518704203625,0.004049363671423062
2029,0.04638635343408649,0.027981445458626367,0.04623672003591202,0.05626215771360168,0.0441418524614694,0.05235602094240838,0.03725871614544366,7.481669908723627e-05
2041,0.07662007623888183,0.05781448538754765,0.07662007623888183,0.04205844980940279,0.039135959339263025,0.06002667852378835,0.013342652010928267,0.0057182794332549716
2049,0.049130897481376376,0.02678254700248315,0.049308265342319975,0.07520397304008514,0.059772969137992196,0.13531967721911856,0.10331677899964527,0.00044341965235899253
2072,0.0521978021978022,0.0405982905982906,0.0521978021978022,0.0463980463980464,0.0438034188034188,0.06303418803418803,0.004655422422346027,0.00022895520109898496
2097,0.19739478957915832,0.1538076152304609,0.19739478957915832,0.1538076152304609,0.14529058116232466,0.08231173380035026,0.0781758957654723,0.010774242044600351
2098,0.04388349514563107,0.02796116504854369,0.04407766990291262,0.08563106796116506,0.07281553398058252,0.06589673913043478,0.011360326245266531,0.002233226526847267
2103,0.9623552123552124,0.9623552123552124,0.9623552123552124,0.09684684684684684,0.07110682110682111,0.09009009009009009,0.06595881595881596,0.00016087516087516087
2114,0.07533084492704445,0.06192738378011537,0.07482185273159145,0.07108924329826943,0.06243637597556837,0.13657957244655583,0.051238547675602306,0.0018663047166610112
2121,0.08895146595991386,0.05333775053834686,0.08795759483187013,0.0642703329468279,0.04124565181381481,0.06840579710144927,0.037849925459665396,0.0031472585721384794
2134,0.04855479309627781,0.029631940112289458,0.04834684965689332,0.044499896028280306,0.04772301933873986,0.06622998544395925,0.08037013932210439,0.0047826991058432106
2148,0.10019869429463525,0.08572239568549532,0.10019869429463525,0.08572239568549532,0.06698836219131422,0.09731876861966236,0.01731478853250071,0.0002838489923360772
2150,0.06891357559781586,0.05667482583317643,0.06891357559781586,0.10016945961212578,0.05535680662775372,0.07444005270092227,0.004142346074185652,0.0003765769158350593
2157,0.22336874051593322,0.17147192716236723,0.22336874051593322,0.09165402124430956,0.0370257966616085,0.10084925690021232,0.09697981484292002,0.0
2161,0.038317185999825434,0.026446713799423933,0.038317185999825434,0.04931482936196212,0.024439207471414856,0.044899205864386074,0.017107445229990397,4.3641441913240814e-05
2168,0.0423374708123387,0.008111097456064888,0.04246036622833968,0.018864446356150914,0.017143910532137152,0.02967741935483871,0.026176723608209412,0.00012289541600098315
2185,0.146835847099194,0.11132391668661719,0.14691564919000877,0.026494294150506744,0.02314260633628601,0.04077073443172298,0.03551334743226527,0.00079805275128686
2219,0.05387453874538745,0.03099630996309963,0.053751537515375154,0.04920049200492005,0.06617466174661747,0.0482135170038743,0.03278184390183898,0.004612829817331939
2229,0.082010582010582,0.056878306878306875,0.08182161753590325,0.09769463340891912,0.059334845049130766,0.08796296296296297,0.022772370783331757,0.0001889823301521308
2231,0.06449502878074306,0.031135531135531136,0.06384092098377812,0.057430664573521716,0.04042386185243328,0.057692307692307696,0.03597592883307169,0.0018969126111983254
2248,0.08814102564102565,0.04907852564102564,0.08733974358974358,0.0625,0.05689102564102564,0.04765241765942537,0.1580687168185916,0.00020034057898427325
2280,0.053876721190278164,0.028370760558173922,0.053876721190278164,0.0312355604842436,0.07559375288790315,0.046248382923673996,0.04269476018852232,0.0001848258016819148
2283,0.10285833507197997,0.06488629250991029,0.10285833507197997,0.06968495722929272,0.07865637387857292,0.07737226277372262,0.03755868544600939,0.0026082420448617634
2284,0.07675675675675675,0.05967567567567567,0.07675675675675675,0.06227027027027027,0.08864864864864865,0.060514372163388806,0.24443243243243243,0.0005405405405405405
2295,0.03587570621468927,0.0019774011299435027,0.036440677966101696,0.09576271186440678,0.09293785310734463,0.10770750988142293,0.09648255403305551,0.0004237886707162029
2313,0.11857707509881422,0.08972332015810276,0.11857707509881422,0.16719367588932807,0.10316205533596838,0.05255878284923928,0.34868551097054756,0.05376556631745404
2332,0.09827558677949864,0.0637873223694715,0.09811591888871148,0.029139390068657192,0.018521475331310874,0.030176026823134954,0.03197477146620893,3.991856612510479e-05
2377,0.09264520202020202,0.07702020202020202,0.09264520202020202,0.09501262626262626,0.07970328282828283,0.08779679734953065,0.06786616161616162,0.0015782828282828283
2393,0.03575508339045008,0.011537582819282613,0.03575508339045008,0.057230980123372174,0.049006168608636054,0.027977617905675458,0.026901987662782727,0.0002284669865204478
2401,0.04662379421221865,0.035246104377937175,0.04662379421221865,0.03734850358644571,0.02720751916893396,0.050194720900043274,0.024115755627009645,0.0
2417,0.033625433054819645,0.0002037905033625433,0.033014061544732014,0.006113715100876299,0.0625636845323008,0.025677603423680456,0.10841654778887304,0.0004075810067250866
2435,0.07243719053731891,0.05336512011736659,0.07243719053731891,0.06400146708234,0.053181734824867044,0.07766367137355584,0.044287548138639284,0.010086191087474784
2443,0.03292406886617738,0.021400644763015297,0.03333561972700459,0.02208656286439399,0.021606420193428906,0.06913106096975516,0.030112837397537468,0.0007888328703227355
2444,0.08582490858249085,0.04710690471069047,0.08539470853947086,0.06560550656055066,0.0597978059797806,0.1181339352896915,0.10281781028178102,0.00010755001075500108
2453,0.11435314310233856,0.08302939283415577,0.11435314310233856,0.026317671458199243,0.02946434956733176,0.017271589486858575,0.03668871804040765,0.001394600393348829
2479,0.156262918561389,0.12897891690781316,0.15584952459694087,0.16866473749483257,0.13393964448119058,0.1994219653179191,0.008061182306738322,0.00434063662670525
2500,0.10075471698113207,0.05433962264150943,0.09962264150943397,0.13169811320754718,0.14867924528301887,0.10435931307793923,0.08378939422532554,0.004717871296471032
2513,0.9796445389639982,0.9796445389639982,0.9796445389639982,0.07640893209782774,0.031748442959137174,0.06007442849548113,0.055521798572079596,0.0003038128512836093
2542,0.08322295805739514,0.06512141280353201,0.08278145695364239,0.08498896247240618,0.06865342163355409,0.05868725868725869,0.0641280353200883,0.00011037527593818985
2548,0.9499244549967624,0.9499244549967624,0.9499244549967624,0.06950140297863155,0.05439240233110296,0.1042296072507553,0.11462493254182407,0.00021586616297895306
2569,0.10620629370629371,0.08610139860139861,0.10620629370629371,0.1791958041958042,0.12106643356643357,0.07951070336391437,0.15191256830601094,0.0006557377049180328
2580,0.054328621908127206,0.02561837455830389,0.054328621908127206,0.02765017667844523,0.039134275618374556,0.04884080370942813,0.05671378091872792,0.0009717314487632509
2594,0.06058171300016069,0.048368953880764905,0.06042101880122128,0.04852964807970432,0.049493813273340834,0.05961754780652419,0.0894335074327039,0.0
