,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/FEO2,Solar8000/FIO2,Solar8000/HR,Solar8000/INCO2,Solar8000/NIBP_DBP,Solar8000/NIBP_MBP,Solar8000/NIBP_SBP,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Primus/CO2,Primus/ETCO2,Primus/EXP_SEVO,Primus/FEO2,Primus/FIO2,Primus/INCO2,Primus/INSP_SEVO,Primus/MAC,Primus/MAWP_MBAR,Primus/MV,Primus/TV,Orchestra/RFTN20_CE,Orchestra/RFTN20_CP,Orchestra/RFTN20_CT,Orchestra/RFTN20_RATE,Orchestra/RFTN20_VOL,BIS/BIS
3218,0.01743498817966903,0.001182033096926714,0.016548463356973995,0.04934988179669031,0.04964539007092199,0.04964539007092199,0.010638297872340425,0.04964539007092199,0.7715721040189125,0.7715721040189125,0.7715721040189125,0.004137115839243499,0.07801418439716312,0.0006975297987094517,0.038262668045501554,0.038262668045501554,0.038262668045501554,0.038262668045501554,0.038262668045501554,0.038262668045501554,0.038262668045501554,0.03722854188210962,0.057911065149948295,0.057911065149948295,0.8294665287424264,0.8294665287424264,0.8294665287424264,0.8294665287424264,0.8294665287424264,0.00014777597162701344
337,0.01979434447300771,0.0,0.02005141388174807,0.006940874035989717,0.006940874035989717,0.006940874035989717,0.007969151670951156,0.006940874035989717,0.7519280205655527,0.7519280205655527,0.7519280205655527,0.017994858611825194,0.014395886889460155,0.0022357330612882923,0.039568345323741004,0.09802158273381295,0.03866906474820144,0.03866906474820144,0.039568345323741004,0.09802158273381295,0.04136690647482014,0.03597122302158273,0.040467625899280574,0.048561151079136694,0.004755784061696658,0.004755784061696658,0.004884318766066838,0.004884318766066838,0.004884318766066838,0.00012853470437017994
2847,0.015359191212209584,0.00029163021289005544,0.015067560999319529,0.015261981141246233,0.015261981141246233,0.015456401283172936,0.0005832604257801109,0.015261981141246233,0.7191601049868767,0.7191601049868767,0.7191601049868767,0.00029163021289005544,0.01672013220569651,0.0020617770947530846,0.0421912215039129,0.027900646478394013,0.0421912215039129,0.0421912215039129,0.0421912215039129,0.027900646478394013,0.0421912215039129,0.04151071793126914,0.041850969717591016,0.04321197686287853,0.004812132406552277,0.00486073980459826,0.004909347202644242,0.004666310212414329,0.004666310212414329,4.86073980459826e-05
5239,1.0,1.0,1.0,0.009642521166509878,0.009642521166509878,0.009642521166509878,0.005409219190968956,0.009642521166509878,0.01763875823142051,0.01763875823142051,0.01763875823142051,0.0014111006585136407,0.01599247412982126,0.0,0.023868312757201648,0.019753086419753086,0.023868312757201648,0.023868312757201648,0.023868312757201648,0.019753086419753086,0.023868312757201648,0.024691358024691357,0.0345679012345679,0.03374485596707819,0.007879571915794425,0.007879571915794425,0.007879571915794425,0.007879571915794425,0.007879571915794425,0.00011760555098200635
5650,0.02722820763956905,0.0025465230166503428,0.02722820763956905,0.02056807051909892,0.021547502448579822,0.021547502448579822,0.009010773751224289,0.020763956904995103,0.7077375122428992,0.7077375122428992,0.7077375122428992,0.0019588638589618022,0.03212536728697356,8.463498810408223e-05,0.04866346812885538,0.910212474297464,0.04934886908841672,0.04934886908841672,0.04866346812885538,0.910212474297464,0.04866346812885538,0.047978067169294036,0.047978067169294036,0.050034270047978065,0.004505828190812028,0.004505828190812028,0.004505828190812028,0.004407875404055245,0.004407875404055245,0.00019590557351356646
3428,0.01683937823834197,0.0025906735751295338,0.01683937823834197,0.017271157167530225,0.017271157167530225,0.017271157167530225,0.002302820955670697,0.017271157167530225,0.622769142199194,0.622769142199194,0.622769142199194,0.0069084628670120895,0.019142199194012666,0.0015532634652628574,0.03423967774420947,0.0377643504531722,0.03423967774420947,0.03423967774420947,0.03423967774420947,0.0377643504531722,0.03423967774420947,0.032225579053373615,0.03625377643504532,0.03675730110775428,0.08110247553252735,0.08110247553252735,0.08110247553252735,0.08110247553252735,0.08110247553252735,0.0014392630972941854
763,0.016577447763771368,0.0035399758245553445,0.016577447763771368,0.0038853393196339146,0.0038853393196339146,0.0038853393196339146,0.003453634950785702,0.0038853393196339146,0.6873596960801244,0.6873596960801244,0.6873596960801244,0.0022448627180107063,0.007166292522880331,0.0035595153311979463,0.027500755515261408,0.02629193109700816,0.027500755515261408,0.027500755515261408,0.027500755515261408,0.02629193109700816,0.027500755515261408,0.027500755515261408,0.028105167724388033,0.030825022665457842,0.005741915986702931,0.005741915986702931,0.005741915986702931,0.005698743686051029,0.005698743686051029,0.0015542028234684627
3415,0.022460262612301312,0.001986869384934347,0.022287491361437456,0.0023324118866620593,0.0023324118866620593,0.0023324118866620593,0.002246026261230131,0.002246026261230131,0.7791119557705598,0.7791119557705598,0.7791119557705598,0.005442294402211472,0.002677954388389772,0.0034858664838498784,0.020253929866989116,0.020556227327690448,0.020253929866989116,0.020253929866989116,0.020253929866989116,0.020556227327690448,0.020253929866989116,0.01995163240628779,0.01995163240628779,0.020253929866989116,0.03576364892881825,0.03572045611610228,0.03576364892881825,0.03567726330338632,0.03572045611610228,0.00138217000691085
252,0.01783616362277048,0.0067286126241589235,0.01783616362277048,0.014738865748157642,0.014738865748157642,0.014738865748157642,0.005980988999252377,0.014738865748157642,0.7348072199081491,0.7348072199081491,0.7348072199081491,0.0028836911246395386,0.02221510199722311,0.0019660617245975598,0.034005979073243646,0.02242152466367713,0.034005979073243646,0.034005979073243646,0.034005979073243646,0.02242152466367713,0.034005979073243646,0.033632286995515695,0.03699551569506727,0.03998505231689088,0.06653850261668269,0.06659190430417601,0.06648510092918936,0.06659190430417601,0.06659190430417601,5.340168749332479e-05
3161,0.0457929167606587,0.007444168734491315,0.0457929167606587,0.006767426122264832,0.006767426122264832,0.006767426122264832,0.011279043537108053,0.006767426122264832,0.8948793142341529,0.8948793142341529,0.8948793142341529,0.005639521768554027,0.008797653958944282,0.002302825111622048,0.026045777426992895,0.028413575374901343,0.026045777426992895,0.026045777426992895,0.026045777426992895,0.028413575374901343,0.026045777426992895,0.026045777426992895,0.026045777426992895,0.026045777426992895,0.1002706970448906,0.1002706970448906,0.1002706970448906,0.1002706970448906,0.1002706970448906,0.00011279043537108053
